Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 00045 (0.2%) | loss: 0.178185 | mae: 30.29 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00046 (0.3%) | loss: 0.173661 | mae: 29.83 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00047 (0.3%) | loss: 0.176243 | mae: 23.99 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00048 (0.3%) | loss: 0.174737 | mae: 30.07 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00049 (0.3%) | loss: 0.168298 | mae: 29.81 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00050 (0.3%) | loss: 0.167650 | mae: 25.81 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00051 (0.3%) | loss: 0.171696 | mae: 24.07 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00052 (0.3%) | loss: 0.170434 | mae: 41.32 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00053 (0.3%) | loss: 0.171314 | mae: 35.50 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00054 (0.3%) | loss: 0.166660 | mae: 33.89 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00055 (0.3%) | loss: 0.164999 | mae: 34.47 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00056 (0.3%) | loss: 0.164470 | mae: 29.27 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00057 (0.3%) | loss: 0.162922 | mae: 22.26 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00058 (0.3%) | loss: 0.162202 | mae: 32.49 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00059 (0.3%) | loss: 0.168032 | mae: 26.12 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00060 (0.4%) | loss: 0.168276 | mae: 29.03 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00061 (0.4%) | loss: 0.168750 | mae: 29.53 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00062 (0.4%) | loss: 0.164975 | mae: 36.31 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00063 (0.4%) | loss: 0.160557 | mae: 30.38 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00064 (0.4%) | loss: 0.163497 | mae: 29.80 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00065 (0.4%) | loss: 0.162690 | mae: 28.70 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00066 (0.4%) | loss: 0.162160 | mae: 28.50 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00067 (0.4%) | loss: 0.159058 | mae: 27.79 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00068 (0.4%) | loss: 0.159569 | mae: 25.23 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00069 (0.4%) | loss: 0.160954 | mae: 26.06 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00070 (0.4%) | loss: 0.160597 | mae: 28.35 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00071 (0.4%) | loss: 0.161399 | mae: 28.50 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00072 (0.4%) | loss: 0.165070 | mae: 26.32 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00073 (0.4%) | loss: 0.163060 | mae: 32.17 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00074 (0.5%) | loss: 0.165986 | mae: 25.14 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00075 (0.5%) | loss: 0.165238 | mae: 31.16 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00076 (0.5%) | loss: 0.167955 | mae: 24.28 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00077 (0.5%) | loss: 0.164985 | mae: 28.79 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00078 (0.5%) | loss: 0.161812 | mae: 34.26 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00079 (0.5%) | loss: 0.163815 | mae: 25.95 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00080 (0.5%) | loss: 0.162833 | mae: 26.46 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00081 (0.5%) | loss: 0.160205 | mae: 29.62 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00082 (0.5%) | loss: 0.162611 | mae: 23.31 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00083 (0.5%) | loss: 0.164808 | mae: 25.41 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00084 (0.5%) | loss: 0.165666 | mae: 33.02 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00085 (0.5%) | loss: 0.167420 | mae: 32.72 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00086 (0.5%) | loss: 0.164116 | mae: 31.75 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00087 (0.5%) | loss: 0.162047 | mae: 35.10 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00088 (0.6%) | loss: 0.159854 | mae: 29.07 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00089 (0.6%) | loss: 0.159189 | mae: 31.40 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00090 (0.6%) | loss: 0.164021 | mae: 30.44 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00091 (0.6%) | loss: 0.165669 | mae: 23.73 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00092 (0.6%) | loss: 0.166068 | mae: 26.10 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00093 (0.6%) | loss: 0.165335 | mae: 29.08 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00094 (0.6%) | loss: 0.168139 | mae: 26.78 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00095 (0.6%) | loss: 0.166935 | mae: 31.82 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00096 (0.6%) | loss: 0.165902 | mae: 27.57 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00097 (0.6%) | loss: 0.161720 | mae: 26.83 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00098 (0.6%) | loss: 0.162909 | mae: 30.59 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00099 (0.6%) | loss: 0.162248 | mae: 32.23 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00100 (0.6%) | loss: 0.162765 | mae: 27.52 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00101 (0.7%) | loss: 0.164047 | mae: 28.50 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00102 (0.7%) | loss: 0.162651 | mae: 24.92 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00103 (0.7%) | loss: 0.162516 | mae: 28.78 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00104 (0.7%) | loss: 0.160261 | mae: 27.89 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00105 (0.7%) | loss: 0.156679 | mae: 37.60 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00106 (0.7%) | loss: 0.158295 | mae: 27.37 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00107 (0.7%) | loss: 0.157867 | mae: 23.75 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00108 (0.7%) | loss: 0.158102 | mae: 27.62 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00109 (0.7%) | loss: 0.157292 | mae: 22.90 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00110 (0.7%) | loss: 0.155900 | mae: 32.12 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00111 (0.7%) | loss: 0.158505 | mae: 25.79 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00112 (0.7%) | loss: 0.154588 | mae: 27.46 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00113 (0.7%) | loss: 0.156066 | mae: 32.54 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00114 (0.7%) | loss: 0.155668 | mae: 27.53 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00115 (0.8%) | loss: 0.154745 | mae: 23.00 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 298s    
step 00116 (0.8%) | loss: 0.152071 | mae: 29.05 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00117 (0.8%) | loss: 0.149012 | mae: 33.60 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00118 (0.8%) | loss: 0.149738 | mae: 34.37 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00119 (0.8%) | loss: 0.144024 | mae: 33.70 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00120 (0.8%) | loss: 0.142651 | mae: 25.95 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00121 (0.8%) | loss: 0.139303 | mae: 32.29 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00122 (0.8%) | loss: 0.139822 | mae: 22.97 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00123 (0.8%) | loss: 0.135885 | mae: 27.12 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00124 (0.8%) | loss: 0.137388 | mae: 27.48 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00125 (0.8%) | loss: 0.136136 | mae: 28.37 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 298s    
step 00126 (0.8%) | loss: 0.135557 | mae: 26.28 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 297s    
step 00127 (0.8%) | loss: 0.137784 | mae: 27.15 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00128 (0.8%) | loss: 0.135933 | mae: 30.07 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00129 (0.9%) | loss: 0.133789 | mae: 32.25 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00130 (0.9%) | loss: 0.138139 | mae: 35.26 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00131 (0.9%) | loss: 0.143276 | mae: 32.80 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00132 (0.9%) | loss: 0.146551 | mae: 28.29 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00133 (0.9%) | loss: 0.146079 | mae: 35.03 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00134 (0.9%) | loss: 0.144153 | mae: 28.39 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00135 (0.9%) | loss: 0.145229 | mae: 32.44 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00136 (0.9%) | loss: 0.145034 | mae: 30.03 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00137 (0.9%) | loss: 0.147098 | mae: 35.21 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00138 (0.9%) | loss: 0.145702 | mae: 27.69 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00139 (0.9%) | loss: 0.149015 | mae: 29.58 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00140 (0.9%) | loss: 0.148338 | mae: 35.24 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00141 (0.9%) | loss: 0.148656 | mae: 30.32 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00142 (0.9%) | loss: 0.145306 | mae: 29.69 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00143 (1.0%) | loss: 0.143479 | mae: 26.89 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 297s    
step 00144 (1.0%) | loss: 0.139597 | mae: 33.04 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00145 (1.0%) | loss: 0.138477 | mae: 29.26 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00146 (1.0%) | loss: 0.137137 | mae: 29.76 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00147 (1.0%) | loss: 0.137363 | mae: 25.63 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00148 (1.0%) | loss: 0.138704 | mae: 25.86 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
