Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 01392 (10.0%) | loss: 0.075818 | mae: 36.33 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01393 (10.0%) | loss: 0.072859 | mae: 34.43 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01394 (10.0%) | loss: 0.075617 | mae: 30.53 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01395 (10.0%) | loss: 0.075254 | mae: 35.92 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01396 (10.0%) | loss: 0.074539 | mae: 32.47 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01397 (10.0%) | loss: 0.075467 | mae: 34.49 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01398 (10.0%) | loss: 0.075691 | mae: 38.87 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01399 (10.0%) | loss: 0.076173 | mae: 29.74 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01400 (10.0%) | loss: 0.076986 | mae: 37.08 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01401 (10.0%) | loss: 0.078061 | mae: 21.80 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01402 (10.1%) | loss: 0.078347 | mae: 32.42 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01403 (10.1%) | loss: 0.078287 | mae: 27.63 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01404 (10.1%) | loss: 0.080550 | mae: 25.70 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01405 (10.1%) | loss: 0.079414 | mae: 33.24 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01406 (10.1%) | loss: 0.078329 | mae: 26.50 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01407 (10.1%) | loss: 0.079137 | mae: 35.88 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01408 (10.1%) | loss: 0.079309 | mae: 30.84 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01409 (10.1%) | loss: 0.076950 | mae: 34.13 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01410 (10.1%) | loss: 0.077600 | mae: 32.49 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01411 (10.1%) | loss: 0.078710 | mae: 29.53 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01412 (10.1%) | loss: 0.078989 | mae: 30.95 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01413 (10.1%) | loss: 0.078785 | mae: 34.64 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01414 (10.1%) | loss: 0.077653 | mae: 37.17 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01415 (10.1%) | loss: 0.077595 | mae: 28.52 | lrm: 1.00 | dt: 21ms | epoch: 9 | remaining: 270s    
step 01416 (10.2%) | loss: 0.078214 | mae: 34.31 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 270s    
step 01417 (10.2%) | loss: 0.076346 | mae: 29.49 | lrm: 1.00 | dt: 21ms | epoch: 9 | remaining: 269s    
step 01418 (10.2%) | loss: 0.075671 | mae: 34.52 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01419 (10.2%) | loss: 0.076705 | mae: 31.32 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01420 (10.2%) | loss: 0.077326 | mae: 29.64 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01421 (10.2%) | loss: 0.078797 | mae: 25.95 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01422 (10.2%) | loss: 0.078614 | mae: 26.27 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01423 (10.2%) | loss: 0.076267 | mae: 30.85 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01424 (10.2%) | loss: 0.079141 | mae: 28.87 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01425 (10.2%) | loss: 0.078394 | mae: 35.52 | lrm: 1.00 | dt: 21ms | epoch: 9 | remaining: 269s    
step 01426 (10.2%) | loss: 0.077306 | mae: 27.53 | lrm: 1.00 | dt: 21ms | epoch: 9 | remaining: 269s    
step 01427 (10.2%) | loss: 0.080189 | mae: 29.60 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01428 (10.2%) | loss: 0.079521 | mae: 35.65 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01429 (10.2%) | loss: 0.078194 | mae: 34.26 | lrm: 1.00 | dt: 21ms | epoch: 9 | remaining: 269s    
step 01430 (10.3%) | loss: 0.076657 | mae: 28.59 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01431 (10.3%) | loss: 0.076896 | mae: 41.81 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01432 (10.3%) | loss: 0.074480 | mae: 27.59 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01433 (10.3%) | loss: 0.072719 | mae: 29.10 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01434 (10.3%) | loss: 0.072614 | mae: 30.18 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01435 (10.3%) | loss: 0.073129 | mae: 34.87 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01436 (10.3%) | loss: 0.074586 | mae: 33.78 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01437 (10.3%) | loss: 0.076145 | mae: 41.74 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01438 (10.3%) | loss: 0.074831 | mae: 25.60 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01439 (10.3%) | loss: 0.074873 | mae: 28.36 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01440 (10.3%) | loss: 0.078735 | mae: 20.27 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01441 (10.3%) | loss: 0.079915 | mae: 24.94 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01442 (10.3%) | loss: 0.081286 | mae: 31.29 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01443 (10.3%) | loss: 0.081924 | mae: 34.54 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01444 (10.4%) | loss: 0.084652 | mae: 26.35 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01445 (10.4%) | loss: 0.087097 | mae: 26.44 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01446 (10.4%) | loss: 0.087750 | mae: 24.84 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01447 (10.4%) | loss: 0.087760 | mae: 34.13 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01448 (10.4%) | loss: 0.088774 | mae: 33.66 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01449 (10.4%) | loss: 0.087079 | mae: 35.57 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01450 (10.4%) | loss: 0.086425 | mae: 30.57 | lrm: 1.00 | dt: 21ms | epoch: 9 | remaining: 269s    
step 01451 (10.4%) | loss: 0.086228 | mae: 32.83 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01452 (10.4%) | loss: 0.088756 | mae: 29.01 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01453 (10.4%) | loss: 0.087958 | mae: 34.48 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01454 (10.4%) | loss: 0.086702 | mae: 35.87 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01455 (10.4%) | loss: 0.084070 | mae: 36.53 | lrm: 1.00 | dt: 22ms | epoch: 9 | remaining: 269s    
step 01456 (10.4%) | loss: 0.084441 | mae: 27.30 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 269s    
step 01457 (10.5%) | loss: 0.085156 | mae: 31.55 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 269s    
step 01458 (10.5%) | loss: 0.082970 | mae: 34.84 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 269s    
step 01459 (10.5%) | loss: 0.082679 | mae: 31.48 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 269s    
step 01460 (10.5%) | loss: 0.083887 | mae: 27.85 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 269s    
step 01461 (10.5%) | loss: 0.081768 | mae: 30.54 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 269s    
step 01462 (10.5%) | loss: 0.080999 | mae: 25.97 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 269s    
step 01463 (10.5%) | loss: 0.080359 | mae: 32.20 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01464 (10.5%) | loss: 0.079470 | mae: 28.70 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01465 (10.5%) | loss: 0.078375 | mae: 39.10 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01466 (10.5%) | loss: 0.076440 | mae: 34.04 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01467 (10.5%) | loss: 0.078393 | mae: 31.86 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 268s    
step 01468 (10.5%) | loss: 0.078574 | mae: 30.51 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01469 (10.5%) | loss: 0.082181 | mae: 35.52 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01470 (10.5%) | loss: 0.080453 | mae: 36.83 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01471 (10.6%) | loss: 0.079805 | mae: 37.81 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 268s    
step 01472 (10.6%) | loss: 0.078939 | mae: 29.71 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01473 (10.6%) | loss: 0.077174 | mae: 24.78 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01474 (10.6%) | loss: 0.075411 | mae: 30.08 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01475 (10.6%) | loss: 0.076066 | mae: 28.20 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01476 (10.6%) | loss: 0.077324 | mae: 21.34 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01477 (10.6%) | loss: 0.079568 | mae: 29.27 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01478 (10.6%) | loss: 0.077857 | mae: 31.11 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01479 (10.6%) | loss: 0.079800 | mae: 26.19 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 268s    
step 01480 (10.6%) | loss: 0.078457 | mae: 32.18 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01481 (10.6%) | loss: 0.078004 | mae: 27.67 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01482 (10.6%) | loss: 0.077815 | mae: 29.84 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01483 (10.6%) | loss: 0.076783 | mae: 29.54 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01484 (10.6%) | loss: 0.076583 | mae: 32.61 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01485 (10.7%) | loss: 0.076208 | mae: 39.31 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 268s    
step 01486 (10.7%) | loss: 0.074739 | mae: 38.90 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01487 (10.7%) | loss: 0.076315 | mae: 32.71 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01488 (10.7%) | loss: 0.076437 | mae: 34.56 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01489 (10.7%) | loss: 0.077341 | mae: 30.78 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01490 (10.7%) | loss: 0.074652 | mae: 36.56 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01491 (10.7%) | loss: 0.073154 | mae: 34.07 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01492 (10.7%) | loss: 0.071982 | mae: 33.50 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 268s    
step 01493 (10.7%) | loss: 0.073312 | mae: 29.71 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01494 (10.7%) | loss: 0.072465 | mae: 30.30 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01495 (10.7%) | loss: 0.072980 | mae: 30.85 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01496 (10.7%) | loss: 0.072486 | mae: 29.32 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01497 (10.7%) | loss: 0.071013 | mae: 33.26 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01498 (10.7%) | loss: 0.069869 | mae: 34.28 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 268s    
step 01499 (10.8%) | loss: 0.072167 | mae: 26.44 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01500 (10.8%) | loss: 0.072256 | mae: 26.54 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01501 (10.8%) | loss: 0.071820 | mae: 31.20 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01502 (10.8%) | loss: 0.072608 | mae: 27.96 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01503 (10.8%) | loss: 0.074849 | mae: 31.39 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01504 (10.8%) | loss: 0.074360 | mae: 27.39 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01505 (10.8%) | loss: 0.072450 | mae: 33.58 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01506 (10.8%) | loss: 0.077877 | mae: 34.35 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01507 (10.8%) | loss: 0.077332 | mae: 30.76 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01508 (10.8%) | loss: 0.077711 | mae: 36.50 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 268s    
step 01509 (10.8%) | loss: 0.075768 | mae: 30.83 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01510 (10.8%) | loss: 0.073463 | mae: 29.28 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01511 (10.8%) | loss: 0.076247 | mae: 34.26 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01512 (10.8%) | loss: 0.074704 | mae: 28.23 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01513 (10.9%) | loss: 0.078124 | mae: 33.46 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01514 (10.9%) | loss: 0.076315 | mae: 26.23 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01515 (10.9%) | loss: 0.076787 | mae: 36.19 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01516 (10.9%) | loss: 0.075122 | mae: 32.28 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01517 (10.9%) | loss: 0.078422 | mae: 25.32 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01518 (10.9%) | loss: 0.078754 | mae: 28.97 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01519 (10.9%) | loss: 0.079028 | mae: 31.75 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01520 (10.9%) | loss: 0.076729 | mae: 34.93 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01521 (10.9%) | loss: 0.076511 | mae: 32.37 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01522 (10.9%) | loss: 0.076324 | mae: 34.93 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01523 (10.9%) | loss: 0.076387 | mae: 23.86 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01524 (10.9%) | loss: 0.079321 | mae: 27.28 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01525 (10.9%) | loss: 0.078859 | mae: 27.16 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01526 (10.9%) | loss: 0.077407 | mae: 32.97 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01527 (11.0%) | loss: 0.076041 | mae: 34.82 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 267s    
step 01528 (11.0%) | loss: 0.077030 | mae: 29.58 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01529 (11.0%) | loss: 0.075821 | mae: 31.77 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01530 (11.0%) | loss: 0.076752 | mae: 37.12 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01531 (11.0%) | loss: 0.075928 | mae: 26.82 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01532 (11.0%) | loss: 0.075468 | mae: 31.88 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01533 (11.0%) | loss: 0.073927 | mae: 33.28 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01534 (11.0%) | loss: 0.075400 | mae: 23.00 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01535 (11.0%) | loss: 0.074494 | mae: 33.05 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01536 (11.0%) | loss: 0.074272 | mae: 31.69 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01537 (11.0%) | loss: 0.073013 | mae: 29.52 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 267s    
step 01538 (11.0%) | loss: 0.072776 | mae: 36.74 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01539 (11.0%) | loss: 0.072163 | mae: 30.30 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01540 (11.1%) | loss: 0.073778 | mae: 30.34 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01541 (11.1%) | loss: 0.074748 | mae: 34.86 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01542 (11.1%) | loss: 0.074066 | mae: 34.03 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01543 (11.1%) | loss: 0.078173 | mae: 33.76 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01544 (11.1%) | loss: 0.077095 | mae: 35.49 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01545 (11.1%) | loss: 0.080041 | mae: 38.41 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01546 (11.1%) | loss: 0.079030 | mae: 30.65 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01547 (11.1%) | loss: 0.079514 | mae: 35.81 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01548 (11.1%) | loss: 0.078616 | mae: 33.22 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01549 (11.1%) | loss: 0.077933 | mae: 30.40 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01550 (11.1%) | loss: 0.078435 | mae: 33.29 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01551 (11.1%) | loss: 0.077439 | mae: 31.50 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01552 (11.1%) | loss: 0.077962 | mae: 32.57 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01553 (11.1%) | loss: 0.077147 | mae: 36.34 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 267s    
step 01554 (11.2%) | loss: 0.077081 | mae: 32.16 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 267s    
step 01555 (11.2%) | loss: 0.078541 | mae: 28.82 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01556 (11.2%) | loss: 0.076183 | mae: 35.86 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01557 (11.2%) | loss: 0.077746 | mae: 30.60 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01558 (11.2%) | loss: 0.077090 | mae: 30.38 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01559 (11.2%) | loss: 0.076713 | mae: 33.20 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01560 (11.2%) | loss: 0.074625 | mae: 27.61 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01561 (11.2%) | loss: 0.073105 | mae: 27.36 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 266s    
step 01562 (11.2%) | loss: 0.073147 | mae: 34.17 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01563 (11.2%) | loss: 0.072850 | mae: 30.68 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01564 (11.2%) | loss: 0.072550 | mae: 24.12 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01565 (11.2%) | loss: 0.070876 | mae: 31.71 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01566 (11.2%) | loss: 0.073616 | mae: 24.72 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01567 (11.2%) | loss: 0.073758 | mae: 32.43 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01568 (11.3%) | loss: 0.073426 | mae: 29.63 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01569 (11.3%) | loss: 0.070249 | mae: 33.03 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01570 (11.3%) | loss: 0.071189 | mae: 33.37 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01571 (11.3%) | loss: 0.073572 | mae: 32.66 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01572 (11.3%) | loss: 0.075321 | mae: 33.44 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01573 (11.3%) | loss: 0.075567 | mae: 34.52 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01574 (11.3%) | loss: 0.074258 | mae: 30.92 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 266s    
step 01575 (11.3%) | loss: 0.072669 | mae: 30.10 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01576 (11.3%) | loss: 0.071910 | mae: 33.00 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01577 (11.3%) | loss: 0.070022 | mae: 27.57 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 266s    
step 01578 (11.3%) | loss: 0.069529 | mae: 29.58 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01579 (11.3%) | loss: 0.069244 | mae: 28.24 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 266s    
step 01580 (11.3%) | loss: 0.068320 | mae: 36.28 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 266s    
step 01581 (11.3%) | loss: 0.071016 | mae: 37.42 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01582 (11.4%) | loss: 0.073430 | mae: 37.72 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01583 (11.4%) | loss: 0.075940 | mae: 29.03 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01584 (11.4%) | loss: 0.077935 | mae: 29.49 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01585 (11.4%) | loss: 0.078347 | mae: 27.63 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01586 (11.4%) | loss: 0.079198 | mae: 37.37 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01587 (11.4%) | loss: 0.079211 | mae: 35.71 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01588 (11.4%) | loss: 0.080564 | mae: 31.98 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01589 (11.4%) | loss: 0.080403 | mae: 26.02 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01590 (11.4%) | loss: 0.079140 | mae: 34.75 | lrm: 1.00 | dt: 21ms | epoch: 10 | remaining: 266s    
step 01591 (11.4%) | loss: 0.078691 | mae: 32.81 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01592 (11.4%) | loss: 0.078678 | mae: 30.49 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01593 (11.4%) | loss: 0.081022 | mae: 25.13 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01594 (11.4%) | loss: 0.084311 | mae: 26.91 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01595 (11.4%) | loss: 0.083008 | mae: 23.45 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01596 (11.5%) | loss: 0.081705 | mae: 27.65 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01597 (11.5%) | loss: 0.083975 | mae: 39.38 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
step 01598 (11.5%) | loss: 0.086947 | mae: 30.34 | lrm: 1.00 | dt: 22ms | epoch: 10 | remaining: 266s    
